AuthorId,PaperIds
2080775,2200312 1047104 280462 1467879
1449997,2246338 2221775 2217498 2193101 2142830 1956006 1938822 1919320 1878050 1844581 1829174 1820969 1818632 1796006 1783148 1782311 1737646 1582153 1573557 1378307 1298837 1268714 1249533 1152366 1148497 1146998 1133014 1122925 1118986 1009518 983689 903714 801692 740570 722753 712114 621494 557671 505648 377119 296180 278509 228628 180935 150678 131780 92678 56620 610954 708423 1791967 1569718 1389825 1385325 892111 781436 769393 664519 284416 239245 679601 1167317 573804 2095772 1775141 1451236 1139266 907858 862109 673101 308173 1619770 533284 1280836 2105911 2017920 2155392 2117011 1324722 882996 564160 233113 1539429 231011 1310231 1860361 1565222 1184114 889233 656215 1392515 1289494 1108879 534272 406487 949419 1573677 1280506 1084010 491778 1548583 1257143 640020 1631830 110464 846769 997095 1350192 178846 49808 2011324 359251 2208799 2166429 977723 949588 184116 1353610 2256027 2086480 1996329 1865740 1635899 1610730 854665 825094 745076 593640 367603 615668 1361252 1280735 1257890 1097999 800233 2104398 1197674 121710 2199312 2099907 901232 416445 309836 1428408 1036947 2154495 1517321 506329 2169229 362613 2238546 2069163 1755607 1138254 1469797 1279978 91303 1730862 1212140 466488 1518830 1005650 705603 1767949 1526929 2092083 639893 347655 2020270 1654274 508399 1233667 68165 1169850 1638716 1808375 1778740 1144918 521425 1349016 325566 1493539 1463279 136615 1878055 1272178 519686 2014781 1718292 1703897 1084472 836226 486709 200929 120646 777932 2068775 1996679 1629445 1566195 462957 1965371 100922 932100 830901 1608550 1497272 1726513 1926804 1346062 1877715 1037916 2226595 1098736 1030570 119775 2258855 2076475 1528971 1434269 1377750 1352391 1258401 1123626 1023448 960257 911506 817651 634800 530917 499044 386399 200180 1860884 341631 1886337 987501 514773 474284 10821 373182 792080 105701 1139898 584145 1998497 415226 398755 4449 2234715 1336240 910361 2239685 19685 1403571 435540 1722180 677302 568550 1896408 1351112 1156673 279430 2227394 1512168 1481422 1134778 1108868 514112 783621 1274537 890376 294614 57616 1105980 1047263 1311344 1421643 948733 1064641 2175781 249384 1266168 581863 942094 1874320 1589355 809918 2141453 1314969 140233 18780 1484544 177868 1565250 2104115 794032
1646608,1214962 1109704 108069 920493 937798 637230 1353294 2010045 1276973 1222335 1726576 1326853 86274 337144 452542 154185 2104510 55289
548881,1407349 1047577 1047577 1018076 910089 241424 859025 1832338 1335059 308398 18338 402538 1079278 892266 10951 10951 112974 1717926 125040 561595 1025304 2019446 782302 2171448 678591 1517362 1206789 1206789 123113 661358 2228841 2228841 984197 777515 936276 1199770 2071145 1810044 1583546 375198 1708010 1365608 2145231 1734866 1651731 1235168 394121 1355566 1856008 25095 561905 1149972 1748394 1064813 550461 769886 1290332 1486126 1662128 1797748 897748 267733 744232 1988146 2148361
1409048,1040223 1040223 1040223 1259500 1259500 1259500 774860 774860 774860 1086416 1086416 1086416 1867262 1867262 1867262 340873 340873 340873 1658596 1658596 1658596 1995531 1995531 1995531 1509560
1105949,887268 470196 106577 1772198 1112361 1765928 881854 303443 1937779 1261968 1236126 442334 910272 851741 326936 928159 1959935 1508783 1723984 252862 554949 308939 637053
286759,1482575 2035525 1645200 667657 1736484 2135477 1922137 1804797 2063392 827692 1664197 1060946 1059519 2071962 1370811 1086880 2236050 938315 1195279
950318,772812 1349883 1316908
41009,2034501 1492021 114875 199656 1698249 656419 246701 1474631 1503866 1531457 84587 637278 2124527 1029758 863425 643702 336248 2228833 376081 2234486 1819448 330114 1225680 1308254 1956351 1862142 915032 1994425 1573546 926841 827041 428606 1934756 1375484 644357 2097253 253685 253685 1138474 1592115 261035 2080354 1839925 2038704 2181493 1258284 1398925 56140 2026989 1176104 2058482 1357171 129720
55,2145125 1420910 283152 1258087 285210 501918 2239313 415449 580095 2253161 1068666 778747 538215 360278 1404308 360533 674836 569149 855331 400429 1309499 427328 1200417 1087938 749124 1006063 1134037 847721 949475 368324 2149929 1598529 1503337 842748 787670 151248 1567825 590824 1311582 2047193 507841 1127766 1917226 144775 1639193 836602 462613 567439 2140444 847068 82669 742557 1892017 1390814 998325 605718 2088058 645843 2139275 857434 1791611 68389 778260 2101279 1246558 1996769 1333822 129165 402085 1779715 1842828 1412697 782195 1426341 529078 2243047 2182966 424703 768943 341809 1457884 138408 2020050 1561133 375494 164850 739353 1358761 1394715 478547 1964990 1692285 1432571 518886 1182092 1647435 167677 609556 1334565 1629211 1246911 1303769 933473 145200 1254356 311565 2152937 836932 413987 1131277 1111248 844326 649131 869430 415677 69178 1604996 707333 1819740 1475480 1674347 1796849 380270 393613 1409438 1208855 1767867 2172944 2135162 1704638 2060463 1868160 1318932 222469 178422 951610 1572902 1267968 1686687 1306853 839470 1634096 153324 1213444 2130152 2219269 1003588 136767 1079496 596639 2086146 2043565 1618919 440944 2160386 1807352 618099 1988643 110515 2097673 520682 767668 2069862 1162408 878853 878611 55193 1935912 561429 362297 396571 1805568 282173 607208 1490929 1355338 1330500 1389913 243218 1613009 862499 1389430 1334503 1279252 1350211 1253687 1030869 914441 600343 1470552 191340 1226103 1113127 1480374 1513936 1709669 1421288 633416 2061699 1232116 2242701 1536069 341916 545233 533875 366499 47028 666181 367455 2239080 1505207 2078331 1813933 947880 1374577 1963658 419865 42966 391076 1336245 542459 2188615 1149308 787171 494493 68780 1234065 1224720 75356 1265959 1704151 530550 179163 1923712 1129545 82789 627473 1844943 1263351 293806 1028676 372043 1495079 25103 1514435 433440 1040990 1453295 1291570 1236357 330142 1484358 1017616 1705250 1600372 1521193 1296398 75169 1914211 809176 2233795 1065523 548812 1748110 1124696 500411 2116002 916062 400432 2133149 761011 275203 571156 1516256 294906 248390 1728999 374924 1762246 161497 1292671 716659 2188967 636227 1953648 1348168 269210 563378 599636 251879 1106983 852486 652442 1314361 348351 2148216 1598603 602590 1503094 1487068 128962 1369596 1993390 1809054 1157610 981085 1645597 337774 1976657 1561911 787757 762178 657724 1290673 1173588 801725 1562350 861633 491228 2235159 1315957 1575412 2169279 1691264 590988 449667 160532 197854 1998820 1315501 1647084 418934 889545 816840 1402396 122970 1871885 1268918 157653 109868 2071330 1973900 640178 1961041 2185666 1384633 2089307 1051834 267444 1079484 468963 2139295 2020967 1617887 733638 1309753 1417252 965304 1258466 671895 1218501 2161270 1709794 1412366 1247571 600193 487867 224005 1689507 295041 1170435 50011 102768 1473948 2054919 452096 655318 1324071 2092511 292208 913529 577846 1842680 1002385 188583 169774 156007 1347683 441364 1609130 443598 1471568 209987 258012 2228319 1120846 1318181 589720 1874507 1501821 411010 2010142 1051041 1958000 1117699 2248734 1464112 1212786 19294 1221789 2213984 429669 2001206 2006004 2188174 1166498 812510 95899 2254072 228600 1130940 838147 1039736 1846507 389256 375645 1235117 1537119 441057 836220 569738 1488589 1545364 2050391 1715897 1358815 1038114 40294 24074 1114808 433613 1671418 1619343 1441833 1401976 185529 1971149 847749 944768 1905878 629576 617344 427091 313273 443903 757830 1044866 766130 2223355 583593 1373323 745317 108616 217562 1754410 1477509 1909176 810770 327692 1000445 222631 1012283 685489 327786 919007 616823 423069 1978555 1639061 1845523 1321344 178136 1283236 2203516 2160850 1792050 300323 1596644 1268197 1406810 873533 697076 2014129 690310 2067435 2107137 1845348 1224097 837051 1341262 1974662 699144 77268 1669282 1627327 1175552 860343 701621 662811 2172928 1737538 973193 2221713 520007 791391 1638417 515706 1058628 1559958 1231449 1183554 747730 1147447 2227977 36459 744480 2052277 1740617 991821 1587177 1886009 1081944 1425243 939887 1204075 558232 250051 20444 1165889 2209422 1330055 2126038 1696592 824805 1481605 1659666 883792 824229 801400 2238930 2232203 2169998 2001305 1665586 1637203 1611534 1605108 1507925 1482854 1392908 1340284 1299922 1200622 1095626 1032043 898876 823685 783611 753581 720336 649955 640883 605597 529900 511272 493623 434161 401485 372836 2170187 1988335 566388 25304 1618867 1281589 869813 178497 2228219 2100017 2069581 2033860 1930652 1598298 1368392 1338645 1328475 1272277 1231847 1131748 1088098 1034482 601175 446774 391835 372994 317855 264821 241121 52775 2031585 2025947 1883848 1874629 1822770 1705023 1693618 1690254 1614166 1588620 1493998 1360578 1287246 1275261 1153819 1057692 867779 860367 821861 819589 810900 805860 800859 493921 464497 417586 397455 369796 341776 322106 312517 299391 139335 138526 85184 15471 2507 1768979 1294041 2187821 1912963 1782482 1564558 1376095 1058984 918326 794747 733374 717808 686632 651888 1743955 1717868 1230662 1169763 849805 732607 434255 885156 2189241 2144025 803603 683325 479932 166298
